[  0] 0x7FF7E75AA667 Fallout4.exe+145A667	movzx edx, byte ptr [r8+0x1A] |  GameScript::BasicEventHandler::ProcessEvent(TESCombatEvent&,BSTEventSource<TESCombatEvent>*)_145A667 -> 1025656+0x57	movzx edx, byte ptr [r8+0x1A]
[296] 0x7FF7E6DA01D2 Fallout4.exe+0C501D2	mov rbx, [rbp-0x01] |  ActiveEffect::UpdateEffect(float)_C501D2 -> 729395+0x42	mov rbx, [rbp-0x01]
[297] 0x7FF7E6DBB8E2 Fallout4.exe+0C6B8E2	add rbx, 0x08 |  MagicTarget::Dispel(bool)_C6B8E2 -> 1427435+0x62	add rbx, 0x08
[298] 0x7FF7E6EBF5A7 Fallout4.exe+0D6F5A7	mov rcx, r14 |  Actor::Predestroy(void)_D6F5A7 -> 1249584+0x167	mov rcx, r14
[299] 0x7FF7E6EBF2BE Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE -> 1104082+0xFE	mov rdi, [rbx+0x428]
[300] 0x7FF7E6F37D64 Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64 -> 782320+0x14	test bl, 0x01
[301] 0x7FF7E6173824 Fallout4.exe+0023824	jmp 0x00007FF7E617384D |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23824 -> 1152088+0xE4	jmp 0x00007FF7E617384D
[302] 0x7FF7E6E91ADB Fallout4.exe+0D41ADB	mov rbx, [rsp+0x68] |  _lambda_774c312478e3f5808debc6c3e76528a0_::operator()_D41ADB -> 1467123+0x2B	mov rbx, [rsp+0x68]
[303] 0x7FF7E6E8AA75 Fallout4.exe+0D3AA75	cmp eax, 0x01 |  Main::OnIdle_UpdateHighActorsArraySorted(float)_D3AA75 -> 1353306+0xB5	cmp eax, 0x01
[304] 0x7FF7E6E89549 Fallout4.exe+0D39549	mov rcx, rdi |  Main::OnIdle(void)_D39549 -> 633524+0x6E9	mov rcx, rdi
[305] 0x7FF7E6E86E10 Fallout4.exe+0D36E10	mov rcx, [0x00007FF7EBBF4278] |  Main::Run(void)_D36E10 -> 1125396+0xC0	mov rcx, [0x00007FF7EBBF4278]
[306] 0x7FF7E6E85950 Fallout4.exe+0D35950	call 0x00007FF768D7004F |  WinMain_D35950 -> 668528+0x20	call 0x00007FF768D7004F
[307] 0x7FF7E8A87157 Fallout4.exe+2937157	mov [0x00007FF7EC8847C8], eax |  entry_2937157 -> 1104651+0x143	mov [0x00007FF7EC8847C8], eax
[308] 0x7FF994E6269D KERNEL32.DLL+001269D
[309] 0x7FF996B4A9F8    ntdll.dll+005A9F8

REGISTERS:
RAX 0x7FF7E8EE24A8     (void* -> Fallout4.exe+2D924A8	 |  aDiveBombChance_2D924A8)
RCX 0x7FF7EBC0DAD0     (GameScript::HandlePolicy*)
RDX 0x0                (size_t) [0]
RBX 0x71               (size_t) [113]
RSP 0x164513A5C0       (void*)
RBP 0x0                (size_t) [0]
RSI 0x7FF7EBC2D840     (GameScript::BasicEventHandler*)
RDI 0x1FBC91F8290      (void*)
R8  0x0                (size_t) [0]
R9  0x0                (size_t) [0]
R10 0x54DE57           (size_t) [5561943]
R11 0xADA58F50         (size_t) [2913308496]
R12 0x0                (size_t) [0]
R13 0x9C0              (size_t) [2496]
R14 0x164513A710       (void*)
R15 0x164513A710       (void*)

STACK:
[RSP+0   ] 0x1FC85A7CDB0      (void*)
[RSP+8   ] 0x7FF8E695B53E     (void* -> Buffout4.dll+00FB53E	cmp eax, ebx |  E:\Documents\source\repos\vcpkg\buildtrees\tbb\src\v2021.8.0-b8941aa9b2.clean\src\tbbmalloc\frontend.cpp:2537 ?freeOwnObject@Block@internal@rml@@QEAAXPEAX@Z)
[RSP+10  ] 0x1FC85A7CDC0      (void*)
[RSP+18  ] 0x7FF8E6B45500     (void* -> Buffout4.dll+02E5500	add [rax], al |  ?memPoolListLock@MemoryPool@internal@rml@@2VMallocMutex@@A_2E5500)
[RSP+20  ] 0x7FF7EBC284F8     (void* -> Fallout4.exe+5AD84F8	add [rax], al |  aDiveBombChance_5AD84F8)
[RSP+28  ] 0x7FF7E6A109ED     (void* -> Fallout4.exe+08C09ED	mov rdx, [rsi+0x30] |  CombatPositionMap::UnreservePosition(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>,CombatPositionMap::POSITION)_8C09ED)
[RSP+30  ] 0x1FC886CF6F0      (void*)
[RSP+38  ] 0x7FF8E695C673     (void* -> Buffout4.dll+00FC673	mov rdi, [rsp+0x30] |  E:\Documents\source\repos\vcpkg\buildtrees\tbb\src\v2021.8.0-b8941aa9b2.clean\src\tbbmalloc\frontend.cpp:3185 scalable_aligned_free)
[RSP+40  ] 0x1FC886CF700      (void*)
[RSP+48  ] 0x7FF8E6B45500     (void* -> Buffout4.dll+02E5500	add [rax], al |  ?memPoolListLock@MemoryPool@internal@rml@@2VMallocMutex@@A_2E5500)
[RSP+50  ] 0x1FC88EB56C0      (void*)
[RSP+58  ] 0x1FC88EB5728      (void*)
[RSP+60  ] 0x1                (size_t) [1]
[RSP+68  ] 0x7FF7E61744E3     (void* -> Fallout4.exe+00244E3	mov esi, eax |  BSSpinLock::Lock(char*)_244E3)
[RSP+70  ] 0x164513A710       (void*)
[RSP+78  ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+80  ] 0x0                (size_t) [0]
[RSP+88  ] 0x7FF7EBB27A20     (char*) "(["
[RSP+90  ] 0x1FC4E9CFB48      (void*)
[RSP+98  ] 0x7FF7E65AAFE4     (void* -> Fallout4.exe+045AFE4	test eax, eax |  BSTEventSource<TESCombatEvent>::Notify(TESCombatEvent&)_45AFE4)
[RSP+A0  ] 0x0                (size_t) [0]
[RSP+A8  ] 0x1FC4E9CFB40      (void*)
[RSP+B0  ] 0x0                (size_t) [0]
[RSP+B8  ] 0x7FF8E6B45500     (void* -> Buffout4.dll+02E5500	add [rax], al |  ?memPoolListLock@MemoryPool@internal@rml@@2VMallocMutex@@A_2E5500)
[RSP+C0  ] 0x0                (size_t) [0]
[RSP+C8  ] 0x7FF7E71F5D38     (void* -> Fallout4.exe+10A5D38	mov rax, rbx |  CombatTargetSelectorStandard::`vector_deleting_destructor'(uint)_10A5D38)
[RSP+D0  ] 0x1FC892D3A30      (void*)
[RSP+D8  ] 0x7FF8E695C673     (void* -> Buffout4.dll+00FC673	mov rdi, [rsp+0x30] |  E:\Documents\source\repos\vcpkg\buildtrees\tbb\src\v2021.8.0-b8941aa9b2.clean\src\tbbmalloc\frontend.cpp:3185 scalable_aligned_free)
[RSP+E0  ] 0x1FC892D3A40      (void*)
[RSP+E8  ] 0xFFFFFFFF         (size_t) [4294967295]
[RSP+F0  ] 0x1                (size_t) [1]
[RSP+F8  ] 0x1FCFFFFFFFF      (void*)
[RSP+100 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+108 ] 0x0                (size_t) [0]
[RSP+110 ] 0x0                (size_t) [0]
[RSP+118 ] 0x1FBC91F78D0      (void*)
[RSP+120 ] 0x0                (size_t) [0]
[RSP+128 ] 0x7FF7E65850C9     (void* -> Fallout4.exe+04350C9	mov rcx, [rsp+0x28] |  TESObjectREFR_Events::SendCombat(NiPointer<TESObjectREFR>&,NiPointer<TESObjectREFR>&,ACTOR_COMBAT_STATE)_4350C9)
[RSP+130 ] 0x0                (size_t) [0]
[RSP+138 ] 0x164513A710       (void*)
[RSP+140 ] 0x1FC4E9CFB40      (void*)
[RSP+148 ] 0x7FF7E6561443     (void* -> Fallout4.exe+0411443	mov rax, rbx |  TESObjectREFR::GetHandle(void)_411443)
[RSP+150 ] 0x0                (size_t) [0]
[RSP+158 ] 0x0                (size_t) [0]
[RSP+160 ] 0x0                (size_t) [0]
[RSP+168 ] 0x0                (size_t) [0]
[RSP+170 ] 0x0                (size_t) [0]
[RSP+178 ] 0x7FF7E6F4E613     (void* -> Fallout4.exe+0DFE613	mov rax, [rsp+0x70] |  Actor::NotifyCombatStateChanged(ACTOR_COMBAT_STATE)_DFE613)
[RSP+180 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+188 ] 0x0                (size_t) [0]
[RSP+190 ] 0x0                (size_t) [0]
[RSP+198 ] 0xFFFFFFFF         (size_t) [4294967295]
[RSP+1A0 ] 0x65               (size_t) [101]
[RSP+1A8 ] 0x7FF7E6561443     (void* -> Fallout4.exe+0411443	mov rax, rbx |  TESObjectREFR::GetHandle(void)_411443)
[RSP+1B0 ] 0x0                (size_t) [0]
[RSP+1B8 ] 0x164513A818       (char*) "Cu)"
[RSP+1C0 ] 0x65               (size_t) [101]
[RSP+1C8 ] 0x0                (size_t) [0]
[RSP+1D0 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+1D8 ] 0x7FF7E6F4F755     (void* -> Fallout4.exe+0DFF755	call 0x00007FF7E61BB2A0 |  Actor::UpdateCombat(void)_DFF755)
[RSP+1E0 ] 0x1FC00297543      (void*)
[RSP+1E8 ] 0x1FC00000000      (void*)
[RSP+1F0 ] 0x0                (size_t) [0]
[RSP+1F8 ] 0x0                (size_t) [0]
[RSP+200 ] 0x0                (size_t) [0]
[RSP+208 ] 0x1FBC91F8290      (void*)
[RSP+210 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+218 ] 0x0                (size_t) [0]
[RSP+220 ] 0x0                (size_t) [0]
[RSP+228 ] 0x65               (size_t) [101]
[RSP+230 ] 0x0                (size_t) [0]
[RSP+238 ] 0x200000           (size_t) [2097152]
[RSP+240 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+248 ] 0x7FF7E6EBF62B     (void* -> Fallout4.exe+0D6F62B	mov rcx, r14 |  Actor::Predestroy(void)_D6F62B)
[RSP+250 ] 0x0                (size_t) [0]
[RSP+258 ] 0x297543           (size_t) [2716995]
[RSP+260 ] 0x0                (size_t) [0]
[RSP+268 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+270 ] 0x4A3F6            (size_t) [304118]
[RSP+278 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+280 ] 0x0                (size_t) [0]
[RSP+288 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+290 ] 0x0                (size_t) [0]
[RSP+298 ] 0x200000           (size_t) [2097152]
[RSP+2A0 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+2A8 ] 0x7FF7E6EBF2BE     (void* -> Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE)
[RSP+2B0 ] 0x1FC1E985A00      (void*)
[RSP+2B8 ] 0xFFFFFFFF         (size_t) [4294967295]
[RSP+2C0 ] 0x164513A870       (void*)
[RSP+2C8 ] 0x7FF7E6FC03FD     (void* -> Fallout4.exe+0E703FD	test rax, rax |  AIProcess::GetFaceAnimationData(Actor&)_E703FD)
[RSP+2D0 ] 0x4A3F6            (size_t) [304118]
[RSP+2D8 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+2E0 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+2E8 ] 0x7FF7E6F37D64     (void* -> Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64)
[RSP+2F0 ] 0x1                (size_t) [1]
[RSP+2F8 ] 0x200000           (size_t) [2097152]
[RSP+300 ] 0x0                (size_t) [0]
[RSP+308 ] 0x0                (size_t) [0]
[RSP+310 ] 0x164513A978       (void*)
[RSP+318 ] 0x7FF7E6173948     (void* -> Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948)
[RSP+320 ] 0x4BAA2000         (size_t) [1269440512]
[RSP+328 ] 0x7FF7E6F95CA5     (void* -> Fallout4.exe+0E45CA5	mov rbx, [rsp+0x38] |  AIProcess::RemoveHeadTrackTarget(Actor*,TESObjectREFR*)_E45CA5)
[RSP+330 ] 0x1FC00000000      (void*)
[RSP+338 ] 0x7FF7E61744E3     (void* -> Fallout4.exe+00244E3	mov esi, eax |  BSSpinLock::Lock(char*)_244E3)
[RSP+340 ] 0x1FBC91F8290      (void*)
[RSP+348 ] 0x4C               (size_t) [76]
[RSP+350 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+358 ] 0x7FF7E6EE6379     (void* -> Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379)
[RSP+360 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+368 ] 0x1FC5EEF3200      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF001F16
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x00420409
FormID: 0x0017F2BE
FormType: kACHR (65)
[RSP+370 ] 0x0                (size_t) [0]
[RSP+378 ] 0x2B               (size_t) [43]
[RSP+380 ] 0x65               (size_t) [101]
[RSP+388 ] 0x0                (size_t) [0]
[RSP+390 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+398 ] 0x7FF7E6EBF5AF     (void* -> Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF)
[RSP+3A0 ] 0x200000           (size_t) [2097152]
[RSP+3A8 ] 0x0                (size_t) [0]
[RSP+3B0 ] 0x200000           (size_t) [2097152]
[RSP+3B8 ] 0x0                (size_t) [0]
[RSP+3C0 ] 0x4A3F6            (size_t) [304118]
[RSP+3C8 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+3D0 ] 0x0                (size_t) [0]
[RSP+3D8 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+3E0 ] 0x0                (size_t) [0]
[RSP+3E8 ] 0x200000           (size_t) [2097152]
[RSP+3F0 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+3F8 ] 0x7FF7E6EBF2BE     (void* -> Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE)
[RSP+400 ] 0x1FE95022300      (void*)
[RSP+408 ] 0xFFFFFFFF         (size_t) [4294967295]
[RSP+410 ] 0x164513A9C0       (void*)
[RSP+418 ] 0x7FF7E6FC03FD     (void* -> Fallout4.exe+0E703FD	test rax, rax |  AIProcess::GetFaceAnimationData(Actor&)_E703FD)
[RSP+420 ] 0x4A3F6            (size_t) [304118]
[RSP+428 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+430 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+438 ] 0x7FF7E6F37D64     (void* -> Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64)
[RSP+440 ] 0x1                (size_t) [1]
[RSP+448 ] 0x200000           (size_t) [2097152]
[RSP+450 ] 0x0                (size_t) [0]
[RSP+458 ] 0x0                (size_t) [0]
[RSP+460 ] 0x164513AAC8       (void*)
[RSP+468 ] 0x7FF7E6173948     (void* -> Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948)
[RSP+470 ] 0x4BAA2000         (size_t) [1269440512]
[RSP+478 ] 0x7FF7E6F95CA5     (void* -> Fallout4.exe+0E45CA5	mov rbx, [rsp+0x38] |  AIProcess::RemoveHeadTrackTarget(Actor*,TESObjectREFR*)_E45CA5)
[RSP+480 ] 0x1FC00000000      (void*)
[RSP+488 ] 0x7FF7E61744E3     (void* -> Fallout4.exe+00244E3	mov esi, eax |  BSSpinLock::Lock(char*)_244E3)
[RSP+490 ] 0x1FBC91F8290      (void*)
[RSP+498 ] 0x4C               (size_t) [76]
[RSP+4A0 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4A8 ] 0x7FF7E6EE6379     (void* -> Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379)
[RSP+4B0 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4B8 ] 0x1FC5EEF3200      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF001F16
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x00420409
FormID: 0x0017F2BE
FormType: kACHR (65)
[RSP+4C0 ] 0x0                (size_t) [0]
[RSP+4C8 ] 0x2B               (size_t) [43]
[RSP+4D0 ] 0x65               (size_t) [101]
[RSP+4D8 ] 0x0                (size_t) [0]
[RSP+4E0 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+4E8 ] 0x7FF7E6EBF5AF     (void* -> Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF)
[RSP+4F0 ] 0x200000           (size_t) [2097152]
[RSP+4F8 ] 0x0                (size_t) [0]
[RSP+500 ] 0x200000           (size_t) [2097152]
[RSP+508 ] 0x0                (size_t) [0]
[RSP+510 ] 0x4A3F6            (size_t) [304118]
[RSP+518 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+520 ] 0x0                (size_t) [0]
[RSP+528 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+530 ] 0x0                (size_t) [0]
[RSP+538 ] 0x200000           (size_t) [2097152]
[RSP+540 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+548 ] 0x7FF7E6EBF2BE     (void* -> Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE)
[RSP+550 ] 0x0                (size_t) [0]
[RSP+558 ] 0xFFFFFFFF         (size_t) [4294967295]
[RSP+560 ] 0x164513AB10       (void*)
[RSP+568 ] 0x7FF7E6FC03FD     (void* -> Fallout4.exe+0E703FD	test rax, rax |  AIProcess::GetFaceAnimationData(Actor&)_E703FD)
[RSP+570 ] 0x4A3F6            (size_t) [304118]
[RSP+578 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+580 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+588 ] 0x7FF7E6F37D64     (void* -> Fallout4.exe+0DE7D64	test bl, 0x01 |  ActorMovementMessageMap<16>::MessageHandlerWrapper<MovementMessageWarpToMultiple>::`vector_deleting_destructor'(uint)_DE7D64)
[RSP+590 ] 0x1                (size_t) [1]
[RSP+598 ] 0x200000           (size_t) [2097152]
[RSP+5A0 ] 0x0                (size_t) [0]
[RSP+5A8 ] 0x0                (size_t) [0]
[RSP+5B0 ] 0x164513AC18       (void*)
[RSP+5B8 ] 0x7FF7E6173948     (void* -> Fallout4.exe+0023948	jmp 0x00007FF7E6173971 |  BSPointerHandleManagerInterface<Actor,HandleManager>::GetSmartPointer(BSPointerHandle<Actor,BSUntypedPointerHandle<21,5>>&,NiPointer<Actor>&)_23948)
[RSP+5C0 ] 0x4BAA2000         (size_t) [1269440512]
[RSP+5C8 ] 0x7FF7E6F95CA5     (void* -> Fallout4.exe+0E45CA5	mov rbx, [rsp+0x38] |  AIProcess::RemoveHeadTrackTarget(Actor*,TESObjectREFR*)_E45CA5)
[RSP+5D0 ] 0x1FC00000000      (void*)
[RSP+5D8 ] 0x7FF7E61744E3     (void* -> Fallout4.exe+00244E3	mov esi, eax |  BSSpinLock::Lock(char*)_244E3)
[RSP+5E0 ] 0x1FBC91F8290      (void*)
[RSP+5E8 ] 0x4C               (size_t) [76]
[RSP+5F0 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+5F8 ] 0x7FF7E6EE6379     (void* -> Fallout4.exe+0D96379	mov rbx, [rsp+0x58] |  Actor::CleanUpOtherMobileObjects(void)_D96379)
[RSP+600 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+608 ] 0x1FC5EEF3200      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF001F16
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x00420409
FormID: 0x0017F2BE
FormType: kACHR (65)
[RSP+610 ] 0x0                (size_t) [0]
[RSP+618 ] 0x2B               (size_t) [43]
[RSP+620 ] 0x65               (size_t) [101]
[RSP+628 ] 0x0                (size_t) [0]
[RSP+630 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+638 ] 0x7FF7E6EBF5AF     (void* -> Fallout4.exe+0D6F5AF	mov rcx, [0x00007FF7EBA1EE98] |  Actor::Predestroy(void)_D6F5AF)
[RSP+640 ] 0x200000           (size_t) [2097152]
[RSP+648 ] 0x0                (size_t) [0]
[RSP+650 ] 0x200000           (size_t) [2097152]
[RSP+658 ] 0x0                (size_t) [0]
[RSP+660 ] 0x4A3F6            (size_t) [304118]
[RSP+668 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+670 ] 0x0                (size_t) [0]
[RSP+678 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+680 ] 0x0                (size_t) [0]
[RSP+688 ] 0x200000           (size_t) [2097152]
[RSP+690 ] 0x1FCAB67E400      (Actor*)
Object Reference:
Flags: 0x00000008
FormID: 0xFF002373
FormType: kNPC_ (45)
File: "Fallout4.esm"
Flags: 0x0044040B
FormID: 0x00056B7B
FormType: kACHR (65)
[RSP+698 ] 0x7FF7E6EBF2BE     (void* -> Fallout4.exe+0D6F2BE	mov rdi, [rbx+0x428] |  Actor::~Actor(void)_D6F2BE)
[RSP+6A0 ] 0x3FF0000000000000 (size_t) [4607182418800017408]
[RSP+6A8 ] 0xFFFFFFFF         (size_t) [4294967295]
[RSP+6B0 ] 0x164513AC60       (void*)
